date,affirmative,aff_commit,negative,neg_commit,material,material_commit,log_file,aff_votes,neg_votes,winner,aff_calls,neg_calls,aff_max_turn_s,neg_max_turn_s
2026-05-18,agent_q,6eaad356e3ca1ff5025e145623bdf1b0c6e4c771,agent_yx,d864c7810d47793cc258663078c9906a6546efd4,material_001_congestion_pricing.txt,a7cd03ad8576a498db1aead9057af19a095d4f62,debate_result_agent_q_vs_agent_yx_material_001_congestion_pricing.txt_2026-05-18_16-25-21.json,1,2,negative,14,10,,
2026-05-18,agent_q,23cbf014b342740adaef6c7cde26caa4a6c857d8,agent_yx,d864c7810d47793cc258663078c9906a6546efd4,material_001_congestion_pricing.txt,a7cd03ad8576a498db1aead9057af19a095d4f62,debate_result_agent_q_vs_agent_yx_material_001_congestion_pricing.txt_2026-05-18_16-54-38.json,2,1,affirmative,19,10,,
2026-05-25,agent_yx,1d968673834a1b84af54fca9c424446aa985eb9d,agent_q,23cbf014b342740adaef6c7cde26caa4a6c857d8,material_002_social_media_minors.txt,a7cd03ad8576a498db1aead9057af19a095d4f62,debate_result_agent_yx_vs_agent_q_material_002_social_media_minors.txt_2026-05-25_16-18-06.json,3,0,affirmative,6,20,68.3,112.1
2026-05-25,agent_q,23cbf014b342740adaef6c7cde26caa4a6c857d8,agent_yx,1d968673834a1b84af54fca9c424446aa985eb9d,material_002_social_media_minors.txt,a7cd03ad8576a498db1aead9057af19a095d4f62,debate_result_agent_q_vs_agent_yx_material_002_social_media_minors.txt_2026-05-25_16-48-18.json,1,2,negative,10,6,121.2,64.2
